Всевишній	0.885078
Господь	0.816095
Христовий	0.814423
аборт	0.0504696
аварія	0.0367549
автоматний	0.0481572
авіаудар	0.0325676
адаптований	0.797213
ажурний	0.765856
акторський	0.863925
акуратний	0.789571
амбітний	0.836691
антидержавний	0.044345
антисемітський	0.0188021
аплодисменти	0.890553
арматура	0.0443811
артистичний	0.7665165
асоціальний	0.0498191
багатий	0.849303
багатогранний	0.791807
багатофункціональність	0.778706
багно	0.0355492
бажаний	0.84819
байдужий	0.0374327
бандит	0.012394
бандюга	0.0266621
бандюк	0.0426293
бароко	0.781784
бароковий	0.819236
батьківський	0.883184
безвинний	0.0245734
безвідповідальність	0.00904145
безглуздий	0.0433169
безглуздість	0.022861
бездарний	0.0377735
бездумний	0.0255143
безжальний	0.0061511
беззубий	0.0326193
безкорисливий	0.830493
безпека	0.803191
безпечний	0.8853523
безпомічний	0.00966233
безправний	0.0389953
безславний	0.0201081
безсовісний	0.0395854
безсоромний	0.028381074
безумний	0.0172412
безумовний	0.794972
безхмарний	0.891531
бити	0.04578025
благий	0.938188
благодать	0.865297
благодійник	0.816511
благополуччя	0.931302
благородство	0.933584
благословенний	0.777773
благословити	0.923228
благотворний	0.763684
благочестивий	0.857145
блаженний	0.970119
блаженство	0.878685
блакить	0.799758
блукати	0.0485937
блюзнірство	0.0148427
богатирський	0.78415
богиня	0.782753
богословський	0.846704
божественний	0.8293275
божество	0.803982
болючий	0.037952434
боліти	0.015697
бомба	0.0198662
боягузливість	0.0487949
боятися	0.0202416
брак	0.0449833
браконьєр	0.026586
бранка	0.0402254
братський	0.846757
браття	0.790913
броньований	0.8016
брутальний	0.0369715
брязкати	0.0351705
буйний	0.02769
букет	0.858207
булька	0.0417601
бунт	0.0225307
бюрократизм	0.0312316
бідний	0.02128265
бідолашний	0.0224345
білосніжний	0.915726
біс	0.0242428
в'язаний	0.798284
в'язниця	0.00666941
важкий	0.781705
валити	0.0149249
валитися	0.0428233
вандал	0.0439907
вандалізм	0.00734887
вбивати	0.013851088
вбитий	0.0098399
вбогий	0.0440074
вгамовуватися	0.0174269
вдаритися	0.0413337
вдержатися	0.0370701
вдосконалюватися	0.787635
вдячність	0.9470555
величний	0.869438
верещати	0.0328973
верзтися	0.0160143
веселий	0.869653
вечір	0.825002
взаємний	0.824534
взаємовигідний	0.883909
взаємоприйнятний	0.851089
вибух	0.0179333
вибухати	0.0264769
вибухівка	0.0415242
виверт	0.0412513
вигнавши	0.0308292
вигнати	0.00902634
виграш	0.917835
вигрібати	0.0513164
вигідний	0.82729137
вигідніший	0.794991
видавлювати	0.0189392
видалений	0.0452009
вижити	0.0385711
визначний	0.815668
викинути	0.0310425
використати	0.765567
викорінення	0.78825
викорінити	0.0373501
викрити	0.0328095
вимивати	0.0351171
винагородити	0.870633
винний	0.0102225
випалювати	0.0167322
виправдатися	0.861255
виразка	0.0495129
виразковий	0.0505928
вириватися	0.0375342
вирок	0.0167839
виростити	0.774868
виручати	0.82197
вирізати	0.0447593
вирізняти	0.768818
виселення	0.0315713
високий	0.8704382
високоефективний	0.876962
висококласний	0.967625
високотехнологічний	0.838688
високохудожній	0.805549
вистежувати	0.0260373
вистражданий	0.803598
витончений	0.9161005
витонченість	0.907985
витягнути	0.0322051
вихваляти	0.0153493
вихлюпуватися	0.0378559
вишуканий	0.802876
виїдати	0.030743
вкинути	0.0484009
вкрасти	0.0155722
вкусити	0.0126264
властивий	0.790059
вовтузіння	0.0407927
волати	0.02943635
воловий	0.0337111
волонтер	0.893771
ворушитися	0.0497928
воскресіння	0.785214
впевнений	0.852834
вражаючий	0.8921145
вриватися	0.0444342
врода	0.8987285
вродливий	0.858009
врівноваженість	0.825642
всебічний	0.78289104
всміхатися	0.850913
вторгнутися	0.0440723
втрачений	0.8115235
втягнути	0.0291825
втягувати	0.0392036
втікати	0.0149226
втілити	0.813745
втілитися	0.82076
втілювати	0.795205
вчинений	0.01083211
вчинити	0.0166411
відбудовувати	0.818912
відганяти	0.0108186
відгороджувати	0.0375726
відданість	0.7975775
відділок	0.0224807
відкат	0.0289618
відмовитися	0.0408368
відмовний	0.0504423
відмінний	0.88785267
відновлювальний	0.835799
відновлювати	0.838205
відреставрований	0.789701
відроджувати	0.974022
відроджуватися	0.854671
відродити	0.952797
відсахнутися	0.028843
відсвяткувати	0.780819
відтяти	0.019268751
відчай	0.017180394
відштовхнути	0.0507428
відщепенець	0.0419097
вірність	0.983189
віроломний	0.00953777
вітальний	0.85162747
вітати	0.958884
вітатися	0.781755
гайдамацтво	0.0484424
ганебний	0.0305107
ганьбити	0.0225019
гарантувати	0.872064
гармонійний	0.770554
гармонія	0.8448355
гарненький	0.817141
гарний	0.92970234
героїн	0.0165214
героїчний	0.940612
